filename,ocr_text,ocr_confidence,normalized_text
bug_reports_IMG_20250911_101054.jpg,7:35 © 9 V2 46 cul 80%,48.55555555555556,735 9 v2 46 cul 80
bug_reports_scaled_1000003817.jpg,616  ,38.5,616
bug_reports_scaled_1000004843.jpg,  Welcome ,72.0,welcome
bug_reports_scaled_1000019781.jpg,,0.0,
bug_reports_scaled_1000023366.jpg,= ay fe) Welcome,77.25,ay fe welcome
bug_reports_scaled_1000032707.jpg,,95.0,
bug_reports_scaled_1000035314.jpg,06:08 © @ POR a € PBTNO6032: Add Sale x,58.3,0608 por a pbtno6032 add sale x
bug_reports_scaled_1000035314_1.jpg,06:08 © @ POR a € PBTNO6032: Add Sale x,58.3,0608 por a pbtno6032 add sale x
bug_reports_scaled_1000055321.jpg,€ vijayT sven,38.0,vijayt sven
bug_reports_scaled_1000058866.jpg,sae 6 mses € PBTNO4758: Add Sale x,46.6,sae 6 mses pbtno4758 add sale x
bug_reports_scaled_1000060361.jpg,  ,95.0,
bug_reports_scaled_1000069380.jpg,  TG) 21 PaTNos728 (2-Sep 08:45 AN to AM,36.09090909090909,tg 21 patnos728 2sep 0845 an to am
bug_reports_scaled_1000071657.jpg,  ,95.0,
bug_reports_scaled_1000091129.jpg,eae EOC al 92% 3   ,61.142857142857146,eae eoc al 92 3
bug_reports_scaled_1000096416.jpg,sar    Welcome,41.0,sar welcome
bug_reports_scaled_1000124210.jpg,oor Oa Be € PBTNO7879: Add Sale *,42.5,oor oa be pbtno7879 add sale
bug_reports_scaled_1000129667.jpg,  ,95.0,
bug_reports_scaled_1000133887.jpg,    ,95.0,
bug_reports_scaled_1000138337.jpg,,95.0,
bug_reports_scaled_1000140668.jpg,49 Bowl   on ,72.8,49 bowl on
bug_reports_scaled_1000175329.jpg,78 2,9.142857142857142,78 2
bug_reports_scaled_1000175330.jpg,729-2   2 xX,29.125,7292 2 xx
bug_reports_scaled_1000178844.jpg,"  Hot \ Weelocity Hi, mheteto syreyour data ",51.0,hot weelocity hi mheteto syreyour data
bug_reports_scaled_1000187540.jpg,,47.5,
