id,text,category
-OY04XVHntk9JZKXRYDE,scaled_1000055321.jpg,unclear_insufficient_info
-OY0piHPmDUMudmM9f_s,Screenshot_20250819-154440.jpg scaled_1000278347.jpg,unclear_insufficient_info
-OY1ASqCSZwIDgLGLsXO,Screenshot_20250819_172348.jpg,unclear_insufficient_info
-OY1DPY-PRJ1rmkIFmr3,Screenshot_2025-08-19-17-36-48-77_8c6ef806cec84a986bc714a6285db756.jpg,unclear_insufficient_info
-OY1FLjmZacrnPioXCee,Screenshot_2025-08-19-17-45-12-708_com.wheelocity.wow_customer_pos.jpg,unclear_insufficient_info
-OY1NHo9N9RoeP8i7md3,Screenshot_20250819_181556.jpg,unclear_insufficient_info
-OY1yNqiZE1o6Re8Jq_i,Screenshot_2025-08-19-21-06-19-454_com.wheelocity.wow_customer_pos.jpg,unclear_insufficient_info
-OY1y_srIoMsopT9mpxh,Screenshot_20250819_210718_WoW.jpg,unclear_insufficient_info
-OY202US2xZbM61lwH3t,"today my sell amount is 1750 but this app give only 1150 so my sell amount is 1750 .
And coins I am collet 4556 coins today but this app give 3112 only so give my coins 4556 and sell amount 1750 , pls Screenshot_2025-08-19-21-13-09-129_com.wheelocity.wow_customer_pos.jpg",unclear_insufficient_info
-OY23JBgs5UsPNMyw3CN,Screenshot_2025-08-19-21-32-08-21_8c6ef806cec84a986bc714a6285db756.jpg,unclear_insufficient_info
-OY2Kr5pjIPqCnMKE4oj,"please add my all earnings,
please add amount of earnings.  Screenshot_2025-08-19-22-47-23-988_com.wheelocity.wow_customer_pos.jpg",feature_requests
-OY3R0mxCVOa7vkiGELw,Screenshot_2025-08-20-03-55-29-652_com.wheelocity.wow_customer_pos.jpg,unclear_insufficient_info
-OY3Veb4x_0U1vbR7OW-,Screenshot_2025-08-20-04-15-32-289_com.wheelocity.wow_customer_pos.jpg,unclear_insufficient_info
-OY3dFobW3eaqJdYG_4N,Screenshot_20250820_045312_WoW.jpg,unclear_insufficient_info
-OY3dLJbeJWb2j_79tQI,Screenshot_20250820_045338_WoW.jpg,unclear_insufficient_info
-OY3dNID5pCuS_a8-iZD,Screenshot_20250820-045343.png,unclear_insufficient_info
-OY3erC0hwDwIWnO_UXp,damage  Screenshot_20250820-045958.jpg,unclear_insufficient_info
-OY3iEOhQ6rxiFFZJImj,Screenshot_20250820_051508.jpg,unclear_insufficient_info
-OY3jfgS5qh9-XhT3scP,Screenshot_20250820-052118.jpg,unclear_insufficient_info
-OY3n-qgp-Qa69OR5ECO,Screenshot_2025_0820_053554.jpg,unclear_insufficient_info
-OY3owxoYfye9t-j7HBs,எல்லாமே ரேட் அதிகமா இருக்கு கஸ்டமர் கேக்கும்போது எங்களால பதில் பேச முடியல கடைகள்ள விக்கிற ரேட்டோட உங்க கிட்ட ரேட் அதிகமா இருக்கு அப்படின்னு சொல்றாங்க நாங்க என்ன பண்றது சொல்லுங்க  Screenshot_2025-08-20-05-40-29-12_8c6ef806cec84a986bc714a6285db756.jpg scaled_1001950931.jpg,unclear_insufficient_info
-OY3sGQLQ_5VyHT7K1Zv,Screenshot_2025_0820_055856.jpg,unclear_insufficient_info
-OY3t2YgQPp7t-dJ94tt,Screenshot_2025-08-20-06-02-00-68_8c6ef806cec84a986bc714a6285db756.jpg,unclear_insufficient_info
-OY3vV8Q0QWGqxJqWwH6,,unclear_insufficient_info
-OY3w9kBHXWEelXWTqLS,காய் குவாலிட்டி சரியில்லை Screenshot_2025-08-20-06-15-23-18_8c6ef806cec84a986bc714a6285db756.jpg scaled_1000003884.jpg,unclear_insufficient_info
-OY4-X6DuBo9WQd1qQjd,Screenshot_20250820_063502.jpg,unclear_insufficient_info
-OY40Tlm5GR2ifvmOW4K,Screenshot_20250820_063907.jpg,unclear_insufficient_info
-OY414w6R6LJdtj0f_9J,Screenshot_2025-08-20-06-41-44-660_com.wheelocity.wow_customer_pos-edit.jpg,unclear_insufficient_info
-OY441XmJFt-H2H_txOO,Screenshot_20250820_065417.jpg,unclear_insufficient_info
-OY456U2R0t5Ds_n5lWC,,unclear_insufficient_info
-OY4F7xfwcvv0ZGaZBjh,ha Screenshot_20250820_074257.jpg,unclear_insufficient_info
-OY4IVoERYBV_TsGqhZ7,Screenshot_20250820_075754_Truecaller.jpg,unclear_insufficient_info
-OY4Ptdc2knd86MI6w_q,Screenshot_20250820_083013.jpg,unclear_insufficient_info
-OY4i66A5j7-HDjdiTw9,Screenshot_20250820-095412.jpg,unclear_insufficient_info
-OY4jo0R1OuBAZs295wj,ok Screenshot_20250820_100127.jpg,unclear_insufficient_info
-OY4osdknBLzSVJM6Pp5,Screenshot_20250820-102337.png,unclear_insufficient_info
-OY68P8cy_hR1G85Bck7,Screenshot_20250820_163254_WoW.jpg scaled_1000129667.jpg,unclear_insufficient_info
-OY6aAU6sGGTNyfxpaVq,Screenshot_20250820-183849.jpg,unclear_insufficient_info
-OY6j1LKFDAnANaTqWe7,Screenshot_20250820-191657.jpg,unclear_insufficient_info
-OY6jrGPYpVwFRtzqoxf,1st point not  Screenshot_2025-08-20-19-20-50-59_8c6ef806cec84a986bc714a6285db756.jpg,unclear_insufficient_info
-OY7D4odswzXEDA1zTSm,Screenshot_20250820-213310.jpg,unclear_insufficient_info
-OY8pywZxlX-1TM9ZWVw,Screenshot_2025-08-21-05-06-16-24.jpg,unclear_insufficient_info
-OY8xmJinkc_O4D-FuWa,Screenshot_2025-08-21-05-41-10-742_com.wheelocity.wow_customer_pos.jpg,unclear_insufficient_info
-OY8yNdYIiLdpiaJSPoj,Screenshot_2025-08-21-05-42-51-93_8c6ef806cec84a986bc714a6285db756.jpg,unclear_insufficient_info
-OY8ybR0yFAdr5DPg7kZ,Screenshot_20250821-054448.jpg,unclear_insufficient_info
-OY9-BTEp0UMgmSsewrk,not show than price value  Screenshot_20250821_055124.jpg,unclear_insufficient_info
-OY90GF5HV2QzBi2AP1t,sell bil resrt offline  Screenshot_20250821-055558.WoW.png,unclear_insufficient_info
-OY90GuCfAGpf0q7mAfJ,Screenshot_20250821-055620.WoW.png,unclear_insufficient_info
-OY91uULcEVGj-NuV_zE,,unclear_insufficient_info
-OY92-1KbTNtMTA5jyGO,Screenshot_20250821-060343_WoW.jpg,unclear_insufficient_info
-OY921ez-T4rN-LzLeKm,sale amount invincible  Screenshot_2025-08-21-06-03-44-289_com.wheelocity.wow_customer_pos.jpg,unclear_insufficient_info
-OY92BmhT508tsrLJWwt,app not opening  Screenshot_2025-08-21-06-04-35-007_com.wheelocity.wow_customer_pos.jpg scaled_1001408813.jpg,unclear_insufficient_info
-OY92C66bMY5cWVTd5a9,app not working  Screenshot_2025-08-21-06-03-48-07_8c6ef806cec84a986bc714a6285db756.jpg scaled_1000247701.jpg,unclear_insufficient_info
